Benchmark,Gate Cost,Time
0410184_169.qasm,1123,0.001483
3_17_13.qasm,77,0.000132
4_49_16.qasm,604,0.000534
4gt10-v1_81.qasm,384,0.000391
4gt11_82.qasm,95,9.4E-05
4gt11_83.qasm,80,7.3E-05
4gt11_84.qasm,42,5.4E-05
4gt12-v0_86.qasm,672,0.000611
4gt12-v0_87.qasm,650,0.000613
4gt12-v0_88.qasm,572,0.000437
4gt12-v1_89.qasm,588,0.000499
4gt13_90.qasm,292,0.000301
4gt13_91.qasm,270,0.000394
4gt13_92.qasm,168,0.000208
4gt13-v1_93.qasm,168,0.000197
4gt4-v0_72.qasm,928,0.000587
4gt4-v0_73.qasm,1077,0.000904
4gt4-v0_78.qasm,632,0.000562
4gt4-v0_79.qasm,610,0.000686
4gt4-v0_80.qasm,572,0.000405
4gt4-v1_74.qasm,849,0.000591
4gt5_75.qasm,314,0.00021
4gt5_76.qasm,244,0.000305
4gt5_77.qasm,287,0.00029
4mod5-bdd_287.qasm,162,0.000258
4mod5-v0_18.qasm,207,0.000214
4mod5-v0_19.qasm,84,8.2E-05
4mod5-v0_20.qasm,49,0.000103
4mod5-v1_22.qasm,57,5.3E-05
4mod5-v1_23.qasm,187,0.00016
4mod5-v1_24.qasm,131,8.8E-05
4mod7-v0_94.qasm,385,0.000335
4mod7-v1_96.qasm,414,0.000407
9symml_195.qasm,118528,0.076175
adr4_197.qasm,11626,0.007448
aj-e11_165.qasm,405,0.000348
alu-bdd_288.qasm,253,0.000264
alu-v0_26.qasm,224,0.000239
alu-v0_27.qasm,123,0.000143
alu-v1_28.qasm,111,0.000201
alu-v1_29.qasm,135,0.00015
alu-v2_30.qasm,1370,0.001152
alu-v2_31.qasm,1167,0.000962
alu-v2_32.qasm,496,0.000373
alu-v2_33.qasm,114,9.2E-05
alu-v3_34.qasm,122,0.00012
alu-v3_35.qasm,124,9.5E-05
alu-v4_36.qasm,289,0.000267
alu-v4_37.qasm,124,0.000102
C17_204.qasm,1343,0.001025
clip_206.qasm,123563,0.073242
cm152a_212.qasm,3961,0.002656
cm42a_207.qasm,5876,0.00387
cm82a_208.qasm,2121,0.00139
cm85a_209.qasm,39055,0.02466
cnt3-5_179.qasm,781,0.00045
cnt3-5_180.qasm,1806,0.001076
co14_215.qasm,66794,0.039368
con1_216.qasm,3306,0.002144
cycle10_2_110.qasm,21497,0.013394
dc1_220.qasm,6350,0.00407
dc2_222.qasm,34622,0.020746
decod24-bdd_294.qasm,173,0.000242
decod24-enable_126.qasm,796,0.000752
decod24-v0_38.qasm,114,0.000121
decod24-v1_41.qasm,195,0.000232
decod24-v2_43.qasm,118,0.000115
decod24-v3_45.qasm,358,0.000326
dist_223.qasm,135133,0.08288
ex-1_166.qasm,41,4.4E-05
ex1_226.qasm,19,2.7E-05
ex2_227.qasm,1889,0.001362
ex3_229.qasm,1008,0.000852
f2_232.qasm,3856,0.002628
graycode6_47.qasm,20,3.8E-05
ground_state_estimation_10.qasm,1286656,2.19623
ham15_107.qasm,34907,0.019407
ham3_102.qasm,47,6.6E-05
ham7_104.qasm,1065,0.000765
hwb4_49.qasm,710,0.000637
hwb5_53.qasm,3872,0.002985
hwb6_56.qasm,21250,0.014548
hwb7_59.qasm,76999,0.052565
hwb8_113.qasm,240283,0.149788
hwb9_119.qasm,700837,0.448031
inc_237.qasm,38607,0.023199
ising_model_10.qasm,784,0.000642
ising_model_13.qasm,1249,0.000878
ising_model_16.qasm,1763,0.001101
life_238.qasm,78075,0.048654
majority_239.qasm,1896,0.001378
max46_240.qasm,91239,0.058875
miller_11.qasm,107,0.000101
mini_alu_305.qasm,733,0.000399
mini-alu_167.qasm,732,0.000679
misex1_241.qasm,17360,0.010375
mlp4_245.qasm,68704,0.041042
mod10_171.qasm,611,0.000554
mod10_176.qasm,575,0.000385
mod5adder_127.qasm,1605,0.001222
mod5d1_63.qasm,63,0.000122
mod5d2_64.qasm,134,0.00014
mod5mils_65.qasm,80,0.000112
mod8-10_177.qasm,1289,0.000989
mod8-10_178.qasm,1050,0.000845
one-two-three-v0_97.qasm,841,0.000672
one-two-three-v0_98.qasm,496,0.000358
one-two-three-v1_99.qasm,368,0.000321
one-two-three-v2_100.qasm,157,0.000164
one-two-three-v3_101.qasm,157,0.000282
plus63mod4096_163.qasm,466318,0.280296
plus63mod8192_164.qasm,694117,0.407185
pm1_249.qasm,5876,0.003819
qft_10.qasm,880,0.000483
qft_16.qasm,2742,0.001152
radd_250.qasm,10819,0.00702
rd32_270.qasm,340,0.00018
rd32-v0_66.qasm,76,8E-05
rd32-v1_68.qasm,78,0.000156
rd53_130.qasm,3202,0.002294
rd53_131.qasm,1552,0.001022
rd53_133.qasm,1898,0.001277
rd53_135.qasm,825,0.000677
rd53_138.qasm,524,0.000312
rd53_251.qasm,4282,0.002828
rd53_311.qasm,1320,0.000692
rd73_140.qasm,1007,0.000548
rd73_252.qasm,19048,0.011383
rd84_142.qasm,1136,0.000715
rd84_253.qasm,48331,0.029652
root_255.qasm,61042,0.037418
sao2_257.qasm,140015,0.084023
sf_274.qasm,1964,0.001634
sf_276.qasm,1961,0.00166
sqn_258.qasm,34581,0.024948
sqrt8_260.qasm,10894,0.00672
squar5_261.qasm,7255,0.004341
square_root_7.qasm,28307,0.240954
sym10_262.qasm,228703,0.139171
sym6_145.qasm,11789,0.008452
sym6_316.qasm,1248,0.000654
sym9_146.qasm,1302,0.000673
sym9_148.qasm,64530,0.046632
sym9_193.qasm,118528,0.076109
sys6-v0_111.qasm,834,0.000604
urf1_149.qasm,619723,0.37999
urf1_278.qasm,209989,0.140905
urf2_152.qasm,260517,0.165226
urf2_277.qasm,75605,0.053581
urf3_155.qasm,1432813,0.86001
urf3_279.qasm,481049,0.316548
urf4_187.qasm,1634905,1.08084
urf5_158.qasm,549740,0.339789
urf5_280.qasm,188202,0.124448
urf6_160.qasm,628393,0.350721
wim_266.qasm,3158,0.002157
xor5_254.qasm,19,2.3E-05
z4_268.qasm,11256,0.006755
