Benchmark,Gate Cost,Time
0410184_169.qasm,922,0.001771
3_17_13.qasm,92,2.7E-05
4_49_16.qasm,714,0.000297
4gt10-v1_81.qasm,472,0.00021
4gt11_82.qasm,131,4.5E-05
4gt11_83.qasm,105,2.6E-05
4gt11_84.qasm,39,2E-05
4gt12-v0_86.qasm,640,0.000386
4gt12-v0_87.qasm,614,0.000252
4gt12-v0_88.qasm,521,0.000291
4gt12-v1_89.qasm,844,0.00035
4gt13_90.qasm,333,0.000106
4gt13_91.qasm,307,0.000148
4gt13_92.qasm,211,0.000101
4gt13-v1_93.qasm,205,5.9E-05
4gt4-v0_72.qasm,752,0.000374
4gt4-v0_73.qasm,1461,0.000426
4gt4-v0_78.qasm,702,0.000357
4gt4-v0_79.qasm,668,0.000349
4gt4-v0_80.qasm,594,0.000182
4gt4-v1_74.qasm,891,0.000398
4gt5_75.qasm,349,8.6E-05
4gt5_76.qasm,258,0.000147
4gt5_77.qasm,377,0.000207
4mod5-bdd_287.qasm,243,7.9E-05
4mod5-v0_18.qasm,199,0.000103
4mod5-v0_19.qasm,92,2.3E-05
4mod5-v0_20.qasm,57,3.7E-05
4mod5-v1_22.qasm,42,3.9E-05
4mod5-v1_23.qasm,205,9.3E-05
4mod5-v1_24.qasm,125,4.9E-05
4mod7-v0_94.qasm,497,0.000203
4mod7-v1_96.qasm,546,0.000246
9symml_195.qasm,125989,0.034742
adr4_197.qasm,13054,0.005379
aj-e11_165.qasm,427,0.000125
alu-bdd_288.qasm,293,0.000121
alu-v0_26.qasm,319,0.000117
alu-v0_27.qasm,94,5.8E-05
alu-v1_28.qasm,86,3.7E-05
alu-v1_29.qasm,152,8.2E-05
alu-v2_30.qasm,1541,0.000459
alu-v2_31.qasm,1310,0.000689
alu-v2_32.qasm,411,0.000152
alu-v2_33.qasm,117,3.9E-05
alu-v3_34.qasm,133,6.7E-05
alu-v3_35.qasm,106,6.3E-05
alu-v4_36.qasm,272,0.000161
alu-v4_37.qasm,106,6.4E-05
C17_204.qasm,1676,0.000703
clip_206.qasm,125903,0.057054
cm152a_212.qasm,3778,0.001212
cm42a_207.qasm,6309,0.003095
cm82a_208.qasm,1917,0.000578
cm85a_209.qasm,43438,0.01859
cnt3-5_179.qasm,1001,0.00034
cnt3-5_180.qasm,1719,0.000446
co14_215.qasm,70107,0.029888
con1_216.qasm,3128,0.000927
cycle10_2_110.qasm,21091,0.009789
dc1_220.qasm,6783,0.002149
dc2_222.qasm,35352,0.011722
decod24-bdd_294.qasm,213,5.8E-05
decod24-enable_126.qasm,925,0.000504
decod24-v0_38.qasm,111,3.2E-05
decod24-v1_41.qasm,208,0.000125
decod24-v2_43.qasm,130,5.3E-05
decod24-v3_45.qasm,423,0.000216
dist_223.qasm,138314,0.062368
ex-1_166.qasm,45,1.3E-05
ex1_226.qasm,12,9E-06
ex2_227.qasm,2000,0.000982
ex3_229.qasm,1144,0.000346
f2_232.qasm,4465,0.001944
graycode6_47.qasm,37,1.4E-05
ground_state_estimation_10.qasm,877131,0.380033
ham15_107.qasm,33298,0.008936
ham3_102.qasm,45,2.8E-05
ham7_104.qasm,1040,0.000502
hwb4_49.qasm,762,0.000204
hwb5_53.qasm,4116,0.001189
hwb6_56.qasm,22215,0.010758
hwb7_59.qasm,85078,0.03969
hwb8_113.qasm,249957,0.116327
hwb9_119.qasm,745136,0.347985
inc_237.qasm,37533,0.01709
ising_model_10.qasm,798,0.000571
ising_model_13.qasm,1122,0.000483
ising_model_16.qasm,1471,0.001004
life_238.qasm,79598,0.036238
majority_239.qasm,2111,0.001118
max46_240.qasm,98759,0.033141
miller_11.qasm,133,4.1E-05
mini_alu_305.qasm,631,0.000241
mini-alu_167.qasm,871,0.000448
misex1_241.qasm,16894,0.005493
mlp4_245.qasm,72649,0.030457
mod10_171.qasm,654,0.000339
mod10_176.qasm,533,0.000252
mod5adder_127.qasm,1661,0.001178
mod5d1_63.qasm,62,4E-05
mod5d2_64.qasm,170,6.9E-05
mod5mils_65.qasm,92,3.1E-05
mod8-10_177.qasm,1363,0.00039
mod8-10_178.qasm,1044,0.000568
one-two-three-v0_97.qasm,855,0.000284
