Benchmark,Gate Cost,Time
0410184_169.qasm ,951,0.008226
3_17_13.qasm ,110,9.8E-05
4_49_16.qasm ,718,0.001363
4gt10-v1_81.qasm ,475,0.000693
4gt11_82.qasm ,121,0.00019
4gt11_83.qasm ,89,0.000159
4gt11_84.qasm ,51,6.3E-05
4gt12-v0_86.qasm ,874,0.001581
4gt12-v0_87.qasm ,841,0.001248
4gt12-v0_88.qasm ,713,0.002426
4gt12-v1_89.qasm ,735,0.000653
4gt13_90.qasm ,402,0.000695
4gt13_91.qasm ,373,0.00043
4gt13_92.qasm ,220,0.000325
4gt13-v1_93.qasm ,233,0.000213
4gt4-v0_72.qasm ,854,0.001757
4gt4-v0_73.qasm ,1342,0.002684
4gt4-v0_78.qasm ,827,0.000717
4gt4-v0_79.qasm ,787,0.001069
4gt4-v0_80.qasm ,653,0.001888
4gt4-v1_74.qasm ,905,0.001119
4gt5_75.qasm ,291,0.000523
4gt5_76.qasm ,343,0.000552
4gt5_77.qasm ,440,0.000792
4mod5-bdd_287.qasm ,253,0.000383
4mod5-v0_18.qasm ,222,0.000203
4mod5-v0_19.qasm ,119,0.000121
4mod5-v0_20.qasm ,60,0.000127
4mod5-v1_22.qasm ,68,0.000148
4mod5-v1_23.qasm ,220,0.000389
4mod5-v1_24.qasm ,113,0.000194
4mod7-v0_94.qasm ,510,0.000804
4mod7-v1_96.qasm ,523,0.000678
9symml_195.qasm ,131271,6.87746
adr4_197.qasm ,12667,0.083772
aj-e11_165.qasm ,474,0.00033
alu-bdd_288.qasm ,298,0.000251
alu-v0_26.qasm ,279,0.000585
alu-v0_27.qasm ,133,0.000366
alu-v1_28.qasm ,134,0.000334
alu-v1_29.qasm ,134,0.000367
alu-v2_30.qasm ,1771,0.002928
alu-v2_31.qasm ,1538,0.00297
alu-v2_32.qasm ,536,0.000762
alu-v2_33.qasm ,109,0.000135
alu-v3_34.qasm ,164,0.000167
alu-v3_35.qasm ,134,0.000369
alu-v4_36.qasm ,361,0.000357
alu-v4_37.qasm ,134,0.00034
C17_204.qasm ,1623,0.003706
clip_206.qasm ,130216,38.0082
cm152a_212.qasm ,4352,0.023812
cm42a_207.qasm ,6274,0.023277
cm82a_208.qasm ,2235,0.016693
cm85a_209.qasm ,43248,1.01058
cnt3-5_179.qasm ,665,0.010962
cnt3-5_180.qasm ,1617,0.096746
co14_215.qasm ,73734,150.28
con1_216.qasm ,3405,0.016093
cycle10_2_110.qasm ,22474,6.32983
dc1_220.qasm ,6814,0.031085
dc2_222.qasm ,35153,18.1877
decod24-bdd_294.qasm ,226,0.000388
decod24-enable_126.qasm ,1160,0.002158
decod24-v0_38.qasm ,166,0.000333
decod24-v1_41.qasm ,306,0.00071
decod24-v2_43.qasm ,158,0.000293
decod24-v3_45.qasm ,540,0.002217
dist_223.qasm ,143612,115.892
ex-1_166.qasm ,52,9.4E-05
ex1_226.qasm ,36,0.000139
ex2_227.qasm ,2208,0.016194
ex3_229.qasm ,1377,0.002785
f2_232.qasm ,4095,0.014333
graycode6_47.qasm ,9,1.3E-05
ground_state_estimation_10.qasm ,878735,0.824883
