Benchmark,Gate Cost,Time
0410184_169.qasm,740,0.001405
3_17_13.qasm,71,7.3E-05
4_49_16.qasm,484,0.000515
4gt10-v1_81.qasm,331,0.000371
4gt11_82.qasm,103,9.6E-05
4gt11_83.qasm,88,0.000115
4gt11_84.qasm,43,7E-05
4gt12-v0_86.qasm,571,0.000568
4gt12-v0_87.qasm,555,0.000618
4gt12-v0_88.qasm,450,0.000429
4gt12-v1_89.qasm,492,0.00053
4gt13_90.qasm,263,0.000304
4gt13_91.qasm,253,0.000254
4gt13_92.qasm,132,0.00018
4gt13-v1_93.qasm,136,0.000148
4gt4-v0_72.qasm,678,0.00062
4gt4-v0_73.qasm,1024,0.00092
4gt4-v0_78.qasm,537,0.000544
4gt4-v0_79.qasm,513,0.000507
4gt4-v0_80.qasm,409,0.000428
4gt4-v1_74.qasm,654,0.00058
4gt5_75.qasm,163,0.000241
4gt5_76.qasm,233,0.000302
4gt5_77.qasm,299,0.000319
4mod5-bdd_287.qasm,195,0.000155
4mod5-v0_18.qasm,154,0.000152
4mod5-v0_19.qasm,82,0.000134
4mod5-v0_20.qasm,46,4.8E-05
4mod5-v1_22.qasm,47,9E-05
4mod5-v1_23.qasm,158,0.000169
4mod5-v1_24.qasm,74,8.8E-05
4mod7-v0_94.qasm,336,0.000335
4mod7-v1_96.qasm,326,0.000364
9symml_195.qasm,98503,0.074331
adr4_197.qasm,10366,0.007355
aj-e11_165.qasm,382,0.000373
alu-bdd_288.qasm,203,0.000248
alu-v0_26.qasm,183,0.000226
alu-v0_27.qasm,102,0.000116
alu-v1_28.qasm,81,9.5E-05
alu-v1_29.qasm,99,9.2E-05
alu-v2_30.qasm,1245,0.001072
alu-v2_31.qasm,1192,0.000954
alu-v2_32.qasm,443,0.000394
alu-v2_33.qasm,82,9E-05
alu-v3_34.qasm,108,0.000139
alu-v3_35.qasm,103,9.3E-05
alu-v4_36.qasm,272,0.000258
alu-v4_37.qasm,103,0.000141
C17_204.qasm,1266,0.001008
clip_206.qasm,99000,0.072702
cm152a_212.qasm,2861,0.002595
cm42a_207.qasm,4978,0.003766
cm82a_208.qasm,1674,0.001439
cm85a_209.qasm,31916,0.024433
cnt3-5_179.qasm,840,0.000575
cnt3-5_180.qasm,1501,0.001054
co14_215.qasm,54894,0.038644
con1_216.qasm,2847,0.002048
cycle10_2_110.qasm,17533,0.013157
dc1_220.qasm,5137,0.004012
dc2_222.qasm,27721,0.020306
decod24-bdd_294.qasm,152,0.000199
decod24-enable_126.qasm,841,0.000716
decod24-v0_38.qasm,107,0.000104
decod24-v1_41.qasm,174,0.000196
decod24-v2_43.qasm,102,0.000119
decod24-v3_45.qasm,306,0.000396
dist_223.qasm,108621,0.081718
ex-1_166.qasm,41,4.5E-05
ex1_226.qasm,20,2.2E-05
ex2_227.qasm,1768,0.001358
ex3_229.qasm,819,0.000865
f2_232.qasm,3129,0.002563
graycode6_47.qasm,29,3.7E-05
ground_state_estimation_10.qasm,923669,2.17024
ham15_107.qasm,25505,0.019344
ham3_102.qasm,44,4.9E-05
ham7_104.qasm,728,0.000741
hwb4_49.qasm,629,0.000511
hwb5_53.qasm,3259,0.002982
hwb6_56.qasm,18260,0.014314
hwb7_59.qasm,67890,0.052252
hwb8_113.qasm,198404,0.148863
hwb9_119.qasm,600651,0.446026
inc_237.qasm,30657,0.022888
ising_model_10.qasm,802,0.000647
ising_model_13.qasm,1090,0.000865
ising_model_16.qasm,1468,0.001087
life_238.qasm,63701,0.048142
majority_239.qasm,1789,0.001398
max46_240.qasm,75363,0.05786
miller_11.qasm,102,9.9E-05
mini_alu_305.qasm,574,0.000422
mini-alu_167.qasm,682,0.00065
misex1_241.qasm,14565,0.010291
mlp4_245.qasm,57750,0.040466
mod10_171.qasm,495,0.000534
mod10_176.qasm,403,0.000489
mod5adder_127.qasm,1132,0.00153
mod5d1_63.qasm,65,7.2E-05
mod5d2_64.qasm,132,0.000148
mod5mils_65.qasm,78,0.000143
mod8-10_177.qasm,1023,0.000992
mod8-10_178.qasm,918,0.000934
one-two-three-v0_97.qasm,693,0.000655
one-two-three-v0_98.qasm,375,0.000329
one-two-three-v1_99.qasm,284,0.000356
one-two-three-v2_100.qasm,195,0.000197
one-two-three-v3_101.qasm,161,0.000173
plus63mod4096_163.qasm,377569,0.277504
plus63mod8192_164.qasm,549658,0.402298
pm1_249.qasm,4978,0.003806
qft_10.qasm,611,0.000454
qft_16.qasm,2296,0.001127
radd_250.qasm,9238,0.006899
rd32_270.qasm,199,0.000257
rd32-v0_66.qasm,74,8.7E-05
rd32-v1_68.qasm,76,0.00011
rd53_130.qasm,2942,0.002184
rd53_131.qasm,1114,0.000967
rd53_133.qasm,1414,0.001283
rd53_135.qasm,731,0.000668
rd53_138.qasm,403,0.000319
rd53_251.qasm,3607,0.002753
rd53_311.qasm,990,0.000625
rd73_140.qasm,652,0.000691
rd73_252.qasm,15878,0.011377
rd84_142.qasm,1206,0.000723
rd84_253.qasm,39430,0.029472
root_255.qasm,50773,0.036951
sao2_257.qasm,110099,0.082591
sf_274.qasm,1962,0.001665
sf_276.qasm,1907,0.001629
sqn_258.qasm,29245,0.023044
sqrt8_260.qasm,8630,0.00648
squar5_261.qasm,5375,0.004303
square_root_7.qasm,21794,0.233158
sym10_262.qasm,184900,0.137943
sym6_145.qasm,10644,0.008403
sym6_316.qasm,866,0.00065
sym9_146.qasm,1021,0.000675
sym9_148.qasm,54878,0.046174
sym9_193.qasm,98503,0.074289
sys6-v0_111.qasm,610,0.000499
urf1_149.qasm,526334,0.375274
urf1_278.qasm,178702,0.13879
urf2_152.qasm,218199,0.161461
urf2_277.qasm,65665,0.053216
urf3_155.qasm,1225082,0.862118
urf3_279.qasm,405593,0.313849
urf4_187.qasm,1456260,1.06969
urf5_158.qasm,463015,0.334954
urf5_280.qasm,156629,0.12249
urf6_160.qasm,512094,0.348366
wim_266.qasm,2466,0.002063
xor5_254.qasm,20,2.1E-05
z4_268.qasm,9091,0.006682
