Benchmark,Gate Cost,Time
0410184_169.qasm,913,0.000814
3_17_13.qasm,92,2.1E-05
4_49_16.qasm,760,0.000143
4gt10-v1_81.qasm,413,9.8E-05
4gt11_82.qasm,132,2.2E-05
4gt11_83.qasm,108,1.6E-05
4gt11_84.qasm,51,1.5E-05
4gt12-v0_86.qasm,794,0.000179
4gt12-v0_87.qasm,757,0.000177
4gt12-v0_88.qasm,814,0.000136
4gt12-v1_89.qasm,666,0.00016
4gt13_90.qasm,341,7.4E-05
4gt13_91.qasm,328,7E-05
4gt13_92.qasm,153,4.5E-05
4gt13-v1_93.qasm,156,4.6E-05
4gt4-v0_72.qasm,869,0.0003
4gt4-v0_73.qasm,1323,0.000276
4gt4-v0_78.qasm,798,0.000166
4gt4-v0_79.qasm,758,0.00024
4gt4-v0_80.qasm,448,0.000118
4gt4-v1_74.qasm,836,0.000177
4gt5_75.qasm,246,6.5E-05
4gt5_76.qasm,246,6.8E-05
4gt5_77.qasm,407,9.1E-05
4mod5-bdd_287.qasm,223,3.5E-05
4mod5-v0_18.qasm,168,3.6E-05
4mod5-v0_19.qasm,76,1.7E-05
4mod5-v0_20.qasm,33,1.5E-05
4mod5-v1_22.qasm,49,1.8E-05
4mod5-v1_23.qasm,167,4.5E-05
4mod5-v1_24.qasm,81,2.2E-05
4mod7-v0_94.qasm,389,0.000107
4mod7-v1_96.qasm,574,0.000113
9symml_195.qasm,124882,0.026343
adr4_197.qasm,12651,0.002487
aj-e11_165.qasm,427,9.8E-05
alu-bdd_288.qasm,210,5.8E-05
alu-v0_26.qasm,345,5.6E-05
alu-v0_27.qasm,109,2.6E-05
alu-v1_28.qasm,97,2.8E-05
alu-v1_29.qasm,97,2.9E-05
alu-v2_30.qasm,1539,0.000347
alu-v2_31.qasm,1288,0.000315
alu-v2_32.qasm,432,0.000116
alu-v2_33.qasm,101,2.7E-05
alu-v3_34.qasm,129,3.2E-05
alu-v3_35.qasm,128,3E-05
alu-v4_36.qasm,312,7.4E-05
alu-v4_37.qasm,128,3E-05
C17_204.qasm,1465,0.00033
clip_206.qasm,125960,0.02536
cm152a_212.qasm,3753,0.000878
cm42a_207.qasm,6406,0.001406
cm82a_208.qasm,2301,0.000454
cm85a_209.qasm,41702,0.008563
cnt3-5_179.qasm,1011,0.000162
cnt3-5_180.qasm,1827,0.000326
co14_215.qasm,73485,0.013545
con1_216.qasm,3687,0.00069
cycle10_2_110.qasm,21486,0.004443
dc1_220.qasm,6606,0.001531
dc2_222.qasm,36447,0.007463
decod24-bdd_294.qasm,203,3.9E-05
decod24-enable_126.qasm,1040,0.000231
decod24-v0_38.qasm,120,2.7E-05
decod24-v1_41.qasm,202,5.4E-05
decod24-v2_43.qasm,113,2.4E-05
decod24-v3_45.qasm,359,0.0001
dist_223.qasm,138404,0.028748
ex-1_166.qasm,44,1E-05
ex1_226.qasm,12,6E-06
ex2_227.qasm,1968,0.00044
ex3_229.qasm,1196,0.000277
f2_232.qasm,3939,0.000871
graycode6_47.qasm,22,6E-06
ground_state_estimation_10.qasm,1000039,0.180643
ham15_107.qasm,32279,0.006441
ham3_102.qasm,45,1.3E-05
ham7_104.qasm,963,0.000225
hwb4_49.qasm,871,0.000158
hwb5_53.qasm,4468,0.000917
hwb6_56.qasm,22274,0.00479
hwb7_59.qasm,85873,0.017696
hwb8_113.qasm,250767,0.05178
hwb9_119.qasm,747473,0.155957
inc_237.qasm,37551,0.007832
ising_model_10.qasm,763,0.000302
ising_model_13.qasm,1133,0.000362
ising_model_16.qasm,1579,0.000459
life_238.qasm,80368,0.016685
majority_239.qasm,1941,0.000438
max46_240.qasm,95015,0.020064
miller_11.qasm,123,2.7E-05
mini_alu_305.qasm,620,0.000108
mini-alu_167.qasm,724,0.000204
misex1_241.qasm,17163,0.00352
mlp4_245.qasm,72438,0.014085
mod10_171.qasm,701,0.000166
mod10_176.qasm,525,0.000118
mod5adder_127.qasm,1851,0.000394
mod5d1_63.qasm,62,1.8E-05
mod5d2_64.qasm,125,2.8E-05
mod5mils_65.qasm,94,1.8E-05
mod8-10_177.qasm,1368,0.000295
mod8-10_178.qasm,1074,0.000243
one-two-three-v0_97.qasm,794,0.000193
one-two-three-v0_98.qasm,488,9.3E-05
one-two-three-v1_99.qasm,437,8.3E-05
one-two-three-v2_100.qasm,164,4.8E-05
one-two-three-v3_101.qasm,201,4.9E-05
plus63mod4096_163.qasm,470358,0.096019
plus63mod8192_164.qasm,703063,0.140607
pm1_249.qasm,6406,0.001295
qft_10.qasm,924,0.000132
qft_16.qasm,3345,0.000331
radd_250.qasm,11886,0.002298
rd32_270.qasm,279,4.2E-05
rd32-v0_66.qasm,76,1.8E-05
rd32-v1_68.qasm,78,1.8E-05
rd53_130.qasm,3334,0.000735
rd53_131.qasm,1671,0.000323
rd53_133.qasm,2057,0.000418
rd53_135.qasm,1042,0.000206
rd53_138.qasm,474,8.2E-05
rd53_251.qasm,3997,0.000907
rd53_311.qasm,1190,0.000191
rd73_140.qasm,881,0.000143
rd73_252.qasm,19439,0.003832
rd84_142.qasm,1386,0.000203
rd84_253.qasm,48582,0.010231
root_255.qasm,61237,0.012746
sao2_257.qasm,144370,0.028866
sf_274.qasm,2280,0.000531
