Benchmark,Gate Cost,Time
0410184_169.qasm,1317,4.6E-05
3_17_13.qasm,175,8E-06
4_49_16.qasm,881,4E-05
4gt10-v1_81.qasm,501,2.7E-05
4gt11_82.qasm,211,8E-06
4gt11_83.qasm,141,6E-06
4gt11_84.qasm,122,5E-06
4gt12-v0_86.qasm,1096,4.9E-05
4gt12-v0_87.qasm,1062,4.7E-05
4gt12-v0_88.qasm,804,3.6E-05
4gt12-v1_89.qasm,790,4E-05
4gt13_90.qasm,519,2.3E-05
4gt13_91.qasm,484,2.2E-05
4gt13_92.qasm,280,1.2E-05
4gt13-v1_93.qasm,266,1.2E-05
4gt4-v0_72.qasm,971,4.6E-05
4gt4-v0_73.qasm,1649,7.3E-05
4gt4-v0_78.qasm,1048,4.7E-05
4gt4-v0_79.qasm,847,4.5E-05
4gt4-v0_80.qasm,850,3.4E-05
4gt4-v1_74.qasm,1186,4.8E-05
4gt5_75.qasm,414,1.7E-05
4gt5_76.qasm,427,5.8E-05
4gt5_77.qasm,552,2.5E-05
4mod5-bdd_287.qasm,363,1.3E-05
4mod5-v0_18.qasm,286,1.4E-05
4mod5-v0_19.qasm,183,7E-06
4mod5-v0_20.qasm,162,5E-06
4mod5-v1_22.qasm,191,6E-06
4mod5-v1_23.qasm,298,1.4E-05
4mod5-v1_24.qasm,183,7E-06
4mod7-v0_94.qasm,725,3.1E-05
4mod7-v1_96.qasm,641,2.9E-05
9symml_195.qasm,137085,0.006179
adr4_197.qasm,14229,0.000607
aj-e11_165.qasm,583,2.9E-05
alu-bdd_288.qasm,420,1.6E-05
alu-v0_26.qasm,393,1.6E-05
alu-v0_27.qasm,192,7E-06
alu-v1_28.qasm,199,8E-06
alu-v1_29.qasm,193,8E-06
alu-v2_30.qasm,2264,9.2E-05
alu-v2_31.qasm,1486,7.7E-05
alu-v2_32.qasm,773,3.1E-05
alu-v2_33.qasm,184,7E-06
alu-v3_34.qasm,225,1E-05
alu-v3_35.qasm,215,9E-06
alu-v4_36.qasm,454,2.2E-05
alu-v4_37.qasm,215,9E-06
C17_204.qasm,1792,8.3E-05
clip_206.qasm,136386,0.005957
cm152a_212.qasm,4388,0.000212
cm42a_207.qasm,7436,0.000324
cm82a_208.qasm,2670,0.000115
cm85a_209.qasm,46677,0.002013
cnt3-5_179.qasm,1120,3.9E-05
cnt3-5_180.qasm,1975,8.9E-05
co14_215.qasm,74866,0.003174
con1_216.qasm,3483,0.000199
cycle10_2_110.qasm,25158,0.001078
dc1_220.qasm,8271,0.000351
dc2_222.qasm,40287,0.001771
decod24-bdd_294.qasm,384,1.3E-05
decod24-enable_126.qasm,1305,6.2E-05
decod24-v0_38.qasm,256,1E-05
decod24-v1_41.qasm,340,1.6E-05
decod24-v2_43.qasm,283,1E-05
decod24-v3_45.qasm,646,2.7E-05
dist_223.qasm,150367,0.006679
ex-1_166.qasm,113,6E-06
ex1_226.qasm,171,3E-06
ex2_227.qasm,2488,0.000112
ex3_229.qasm,1652,7.4E-05
f2_232.qasm,4691,0.000216
graycode6_47.qasm,75,3E-06
ground_state_estimation_10.qasm,1337420,0.05984
ham15_107.qasm,33971,0.001555
ham3_102.qasm,162,6E-06
ham7_104.qasm,1253,6.1E-05
hwb4_49.qasm,835,4.7E-05
hwb5_53.qasm,5145,0.000239
hwb6_56.qasm,25173,0.001173
hwb7_59.qasm,86448,0.004203
hwb8_113.qasm,260774,0.012028
hwb9_119.qasm,836419,0.037053
inc_237.qasm,40731,0.001872
ising_model_10.qasm,1063,3.9E-05
ising_model_13.qasm,1552,5E-05
ising_model_16.qasm,2433,6.5E-05
life_238.qasm,92253,0.003993
majority_239.qasm,2344,0.000108
max46_240.qasm,104539,0.004747
miller_11.qasm,227,1E-05
mini_alu_305.qasm,880,4E-05
mini-alu_167.qasm,1109,5.3E-05
misex1_241.qasm,19363,0.000846
mlp4_245.qasm,77461,0.003352
mod10_171.qasm,852,4.4E-05
mod10_176.qasm,734,3.3E-05
mod5adder_127.qasm,2111,0.000114
mod5d1_63.qasm,180,6E-06
mod5d2_64.qasm,260,1.1E-05
mod5mils_65.qasm,192,8E-06
mod8-10_177.qasm,1647,7.8E-05
mod8-10_178.qasm,1464,6.8E-05
one-two-three-v0_97.qasm,1044,5.1E-05
one-two-three-v0_98.qasm,676,2.8E-05
one-two-three-v1_99.qasm,470,2.6E-05
one-two-three-v2_100.qasm,317,1.3E-05
one-two-three-v3_101.qasm,295,1.3E-05
plus63mod4096_163.qasm,521873,0.022922
plus63mod8192_164.qasm,764127,0.034172
pm1_249.qasm,7436,0.000314
qft_10.qasm,1240,3.9E-05
qft_16.qasm,3735,0.000105
radd_250.qasm,13240,0.000568
rd32_270.qasm,383,1.6E-05
rd32-v0_66.qasm,198,7E-06
rd32-v1_68.qasm,200,7E-06
rd53_130.qasm,3899,0.00018
rd53_131.qasm,2044,8.4E-05
rd53_133.qasm,2073,0.000103
rd53_135.qasm,1316,5.6E-05
rd53_138.qasm,665,2.6E-05
rd53_251.qasm,5458,0.000227
rd53_311.qasm,1438,5.3E-05
rd73_140.qasm,1213,4.6E-05
rd73_252.qasm,20472,0.000933
rd84_142.qasm,1820,6.5E-05
rd84_253.qasm,56851,0.002417
root_255.qasm,68294,0.003005
sao2_257.qasm,157186,0.006831
