Benchmark,Gate Cost,Time
0410184_169.qasm,889,4.4E-05
3_17_13.qasm,93,7E-06
4_49_16.qasm,564,4.1E-05
4gt10-v1_81.qasm,508,2.8E-05
4gt11_82.qasm,83,7E-06
4gt11_83.qasm,78,6E-06
4gt11_84.qasm,44,5E-06
4gt12-v0_86.qasm,773,4.7E-05
4gt12-v0_87.qasm,701,4.6E-05
4gt12-v0_88.qasm,478,3.4E-05
4gt12-v1_89.qasm,682,4.1E-05
4gt13_90.qasm,364,2.3E-05
4gt13_91.qasm,341,2E-05
4gt13_92.qasm,168,1.2E-05
4gt13-v1_93.qasm,156,1.2E-05
4gt4-v0_72.qasm,791,4.6E-05
4gt4-v0_73.qasm,1282,7.3E-05
4gt4-v0_78.qasm,770,4.5E-05
4gt4-v0_79.qasm,694,4.3E-05
4gt4-v0_80.qasm,549,3.3E-05
4gt4-v1_74.qasm,828,4.8E-05
4gt5_75.qasm,259,1.6E-05
4gt5_76.qasm,283,1.9E-05
4gt5_77.qasm,318,2.3E-05
4mod5-bdd_287.qasm,212,1.2E-05
4mod5-v0_18.qasm,230,1.4E-05
4mod5-v0_19.qasm,83,7E-06
4mod5-v0_20.qasm,41,4E-06
4mod5-v1_22.qasm,59,5E-06
4mod5-v1_23.qasm,231,1.3E-05
4mod5-v1_24.qasm,90,6E-06
4mod7-v0_94.qasm,461,6.4E-05
4mod7-v1_96.qasm,417,2.9E-05
9symml_195.qasm,117048,0.00615
adr4_197.qasm,12108,0.0007
aj-e11_165.qasm,448,2.8E-05
alu-bdd_288.qasm,304,1.8E-05
alu-v0_26.qasm,212,1.5E-05
alu-v0_27.qasm,80,7E-06
alu-v1_28.qasm,95,8E-06
alu-v1_29.qasm,81,7E-06
alu-v2_30.qasm,1583,9E-05
alu-v2_31.qasm,1357,7.9E-05
alu-v2_32.qasm,433,2.9E-05
alu-v2_33.qasm,119,8E-06
alu-v3_34.qasm,125,1E-05
alu-v3_35.qasm,134,9E-06
alu-v4_36.qasm,303,2.1E-05
alu-v4_37.qasm,134,8E-06
C17_204.qasm,1570,8.4E-05
clip_206.qasm,118858,0.005916
cm152a_212.qasm,3702,0.00021
cm42a_207.qasm,5159,0.000368
cm82a_208.qasm,2013,0.000114
cm85a_209.qasm,39275,0.001997
cnt3-5_179.qasm,819,3.7E-05
cnt3-5_180.qasm,1779,8.9E-05
co14_215.qasm,66217,0.003155
con1_216.qasm,3020,0.000165
cycle10_2_110.qasm,20048,0.001055
dc1_220.qasm,5767,0.000328
dc2_222.qasm,32567,0.001907
decod24-bdd_294.qasm,179,1.3E-05
decod24-enable_126.qasm,1058,6.1E-05
decod24-v0_38.qasm,130,9E-06
decod24-v1_41.qasm,231,1.5E-05
decod24-v2_43.qasm,118,9E-06
decod24-v3_45.qasm,426,2.7E-05
dist_223.qasm,132757,0.006667
ex-1_166.qasm,45,4E-06
ex1_226.qasm,48,3E-06
